(0.0, 32.0)
(0.04, 32.0)
(0.08, 32.0)
(0.12, 32.0)
(0.16, 32.0)
(0.2, 32.0)
(0.24, 32.0)
(0.28, 32.0)
(0.32, 32.0)
(0.36, 32.0)
(0.4, 32.0)
(0.44, 32.0)
(0.48, 32.0)
(0.52, 32.0)
(0.56, 32.0)
(0.6, 32.0)
(0.64, 32.0)
(0.68, 32.0)
(0.72, 32.0)
(0.76, 32.0)
(0.8, 32.0)
(0.84, 32.0)
(0.88, 32.0)
(0.92, 32.0)
(0.96, 32.0)
(1, 32)
(1.0, 32.0)
(1.04, 32.0)
(1.08, 32.0)
(1.12, 32.0)
(1.16, 32.0)
(1.2000000000000002, 32.0)
(1.24, 32.0)
(1.28, 32.0)
(1.3199999999999998, 32.0)
(1.3599999999999999, 32.0)
(1.4, 32.0)
(1.44, 32.0)
(1.48, 32.0)
(1.52, 32.0)
(1.56, 32.0)
(1.6, 32.0)
(1.6400000000000001, 32.0)
(1.6800000000000002, 32.0)
(1.72, 32.0)
(1.76, 32.0)
(1.8, 32.0)
(1.8399999999999999, 32.0)
(1.88, 32.0)
(1.92, 32.0)
(1.96, 32.0)
(2, 32)
(2.0, 32.0)
(2.04, 32.0)
(2.08, 32.0)
(2.12, 32.0)
(2.16, 32.0)
(2.2, 32.0)
(2.24, 32.0)
(2.2800000000000002, 32.0)
(2.32, 32.0)
(2.3600000000000003, 32.0)
(2.4000000000000004, 32.0)
(2.4400000000000004, 32.0)
(2.48, 32.0)
(2.52, 32.0)
(2.56, 32.0)
(2.5999999999999996, 32.0)
(2.6399999999999997, 32.0)
(2.6799999999999997, 32.0)
(2.72, 32.0)
(2.7600000000000002, 32.0)
(2.8000000000000003, 32.0)
(2.84, 32.0)
(2.88, 32.0)
(2.92, 32.0)
(2.96, 32.0)
(3, 32)
(3.0, 32.0)
(3.04, 31.959999999999997)
(3.08, 31.92)
(3.12, 31.88)
(3.16, 31.84)
(3.2, 31.8)
(3.24, 31.759999999999998)
(3.2800000000000002, 31.72)
(3.3200000000000003, 31.68)
(3.36, 31.64)
(3.4, 31.6)
(3.4400000000000004, 31.560000000000002)
(3.48, 31.52)
(3.52, 31.48)
(3.56, 31.44)
(3.6, 31.4)
(3.64, 31.36)
(3.68, 31.32)
(3.7199999999999998, 31.28)
(3.76, 31.24)
(3.8, 31.2)
(3.84, 31.16)
(3.88, 31.12)
(3.92, 31.08)
(3.96, 31.04)
(4, 31)
(4.0, 31.0)
(4.04, 30.959999999999997)
(4.08, 30.919999999999998)
(4.12, 30.880000000000003)
(4.16, 30.84)
(4.2, 30.8)
(4.24, 30.759999999999998)
(4.28, 30.72)
(4.32, 30.68)
(4.359999999999999, 30.64)
(4.4, 30.599999999999998)
(4.44, 30.560000000000002)
(4.48, 30.52)
(4.52, 30.48)
(4.5600000000000005, 30.439999999999998)
(4.6, 30.4)
(4.640000000000001, 30.36)
(4.68, 30.32)
(4.72, 30.28)
(4.76, 30.240000000000002)
(4.8, 30.2)
(4.84, 30.16)
(4.880000000000001, 30.119999999999997)
(4.92, 30.08)
(4.96, 30.04)
(5, 30)
(5.0, 30.0)
(5.0, 29.959999999999997)
(5.000000000000001, 29.92)
(5.0, 29.88)
(5.0, 29.84)
(5.0, 29.8)
(5.0, 29.76)
(5.0, 29.72)
(5.0, 29.68)
(5.0, 29.64)
(5.0, 29.6)
(5.0, 29.560000000000002)
(5.0, 29.520000000000003)
(5.0, 29.479999999999997)
(5.0, 29.44)
(5.0, 29.4)
(5.0, 29.36)
(5.0, 29.32)
(5.0, 29.28)
(5.0, 29.24)
(5.0, 29.200000000000003)
(5.0, 29.16)
(5.0, 29.119999999999997)
(5.0, 29.08)
(5.0, 29.04)
(5, 29)
(5.0, 29.0)
(5.0, 28.96)
(5.000000000000001, 28.92)
(5.0, 28.88)
(5.0, 28.84)
(5.0, 28.800000000000004)
(5.0, 28.759999999999998)
(5.0, 28.72)
(5.0, 28.68)
(5.0, 28.64)
(5.0, 28.6)
(5.0, 28.560000000000002)
(5.0, 28.52)
(5.0, 28.48)
(5.0, 28.439999999999998)
(5.0, 28.400000000000002)
(5.0, 28.36)
(5.0, 28.32)
(5.0, 28.28)
(5.0, 28.240000000000002)
(5.0, 28.200000000000003)
(5.0, 28.16)
(5.0, 28.12)
(5.0, 28.080000000000002)
(5.0, 28.04)
(5, 28)
(5.0, 28.0)
(5.0, 27.96)
(5.000000000000001, 27.92)
(5.0, 27.88)
(5.0, 27.84)
(5.0, 27.800000000000004)
(5.0, 27.76)
(5.0, 27.72)
(5.0, 27.68)
(5.0, 27.64)
(5.0, 27.6)
(5.0, 27.560000000000002)
(5.0, 27.52)
(5.0, 27.48)
(5.0, 27.439999999999998)
(5.0, 27.4)
(5.0, 27.36)
(5.0, 27.32)
(5.0, 27.279999999999998)
(5.0, 27.24)
(5.0, 27.2)
(5.0, 27.16)
(5.0, 27.12)
(5.0, 27.08)
(5.0, 27.04)
(5, 27)
(5.0, 27.0)
(5.0, 26.959999999999997)
(5.000000000000001, 26.92)
(5.0, 26.880000000000003)
(5.0, 26.84)
(5.0, 26.8)
(5.0, 26.759999999999998)
(5.0, 26.72)
(5.0, 26.68)
(5.0, 26.64)
(5.0, 26.6)
(5.0, 26.560000000000002)
(5.0, 26.520000000000003)
(5.0, 26.479999999999997)
(5.0, 26.44)
(5.0, 26.4)
(5.0, 26.36)
(5.0, 26.32)
(5.0, 26.28)
(5.0, 26.240000000000002)
